orden;sitios;codigo;fecha;año;campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
17;Costa y Melo;VL031;19/5/2021;2021;otoño;14.8;13.4;8.37;7.96;Ausencia;Ausencia;Ausencia;Ausencia;10000;7500;2300;6.3;2.1;0.36;0.36;6.1;6.1;<30;120;<100;<0.005;<0.001;<10.000;39;Extremadamente deteriorada
17;Costa y Melo;VL031;25/8/2021;2021;invierno;14;11;9.08;7.59;Ausencia;Ausencia;Ausencia;Ausencia;20000;7000;800;5.2;0.1;0.31;0.32;4.7;<30;16;<100;<0.005;<0.001;<0.010;<0.20;43;Extremadamente deteriorada
17;Costa y Melo;VL031;27/10/2021;2021;primavera;22.4;24.2;7.21;7.17;Ausencia;Ausencia;Ausencia;Ausencia;8000;3000;300;5.2;<0.05;0.28;0.26;2.2;<30;9.3;<100;<0.005;<0.001;<0.01;<0.20;46;Muy deteriorada
18;Parque de los Niños;CA041;24/2/2021;2021;verano;25.2;27.5;4.7;7.6;Ausencia;Ausencia;Ausencia;Ausencia;4000;3500;40;no se midió;0.3;0.76;no se midió;<5;<50;84;<100;<10;0.018;0;<0.15;41;Extremadamente deteriorada
18;Parque de los Niños;CA041;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
18;Parque de los Niños;CA041;25/8/2021;2021;invierno;15.2;;6.9;7.6;Ausencia;Ausencia;Ausencia;Ausencia;50000;11000;4100;4.2;3.09;0.1;0.38;<5;<50;32;<100;<0.01;<0.001;<0.010;<0.20;37;Extremadamente deteriorada
18;Parque de los Niños;CA041;27/10/2021;2021;primavera;24.7;no se midió;7.2;7.7;Ausencia;Ausencia;Ausencia;Ausencia;23000;2500;5200;5.3;1.6;0.27;0.33;4.2;41;16;<100;<0.005;<0.001;0.01543;<0.20;39;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;24/2/2021;2021;verano;26.1;27.5;4.7;7.4;Ausencia;Ausencia;Ausencia;Ausencia;25000;3800;370;no se midió;1.2;0.64;no se midió;<5;<50;59;<100;<10;0.019;0.001;<0.15;34;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
19;Costanera Norte - Espigón Abanico;CA044;25/8/2021;2021;invierno;14.5;;8.6;7.6;Ausencia;Ausencia;Ausencia;Ausencia;13000;6000;3100;3.4;1.8;0.08;0.19;<5;<50;31;<100;<0.01;<0.001;<0.010;<0.20;41;Extremadamente deteriorada
